Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2020,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
1,"Lip, oral cavity",900,World,0,1,177757,2020,177757,0,0,0
1,"Lip, oral cavity",900,World,0,1,177757,2025,198791,21034,11.833,0
1,"Lip, oral cavity",900,World,0,1,177757,2030,220336,42579,23.9535,0
1,"Lip, oral cavity",900,World,0,1,177757,2035,241878,64121,36.0723,0
1,"Lip, oral cavity",900,World,0,1,177757,2040,262894,85137,47.8952,0
10,Anus,900,World,0,1,19293,2020,19293,0,0,0
10,Anus,900,World,0,1,19293,2025,21927,2634,13.6526,0
10,Anus,900,World,0,1,19293,2030,24778,5485,28.43,0
10,Anus,900,World,0,1,19293,2035,27810,8517,44.1455,0
10,Anus,900,World,0,1,19293,2040,30834,11541,59.8196,0
11,Liver and intrahepatic bile ducts,900,World,0,1,830180,2020,830180,0,0,0
11,Liver and intrahepatic bile ducts,900,World,0,1,830180,2025,940615,110435,13.3025,0
11,Liver and intrahepatic bile ducts,900,World,0,1,830180,2030,1057813,227633,27.4197,0
11,Liver and intrahepatic bile ducts,900,World,0,1,830180,2035,1179355,349175,42.0602,0
11,Liver and intrahepatic bile ducts,900,World,0,1,830180,2040,1298600,468420,56.4239,0
12,Gallbladder,900,World,0,1,84695,2020,84695,0,0,0
12,Gallbladder,900,World,0,1,84695,2025,97002,12307,14.531,0
12,Gallbladder,900,World,0,1,84695,2030,110647,25952,30.6417,0
12,Gallbladder,900,World,0,1,84695,2035,125287,40592,47.9273,0
12,Gallbladder,900,World,0,1,84695,2040,140060,55365,65.3699,0
13,Pancreas,900,World,0,1,466003,2020,466003,0,0,0
13,Pancreas,900,World,0,1,466003,2025,539007,73004,15.666,0
13,Pancreas,900,World,0,1,466003,2030,620818,154815,33.2219,0
13,Pancreas,900,World,0,1,466003,2035,710258,244255,52.4149,0
13,Pancreas,900,World,0,1,466003,2040,801333,335330,71.9588,0
14,Larynx,900,World,0,1,99840,2020,99840,0,0,0
14,Larynx,900,World,0,1,99840,2025,114251,14411,14.4341,0
14,Larynx,900,World,0,1,99840,2030,129384,29544,29.5913,0
14,Larynx,900,World,0,1,99840,2035,144686,44846,44.9179,0
14,Larynx,900,World,0,1,99840,2040,159662,59822,59.9179,0
15,"Trachea, bronchus and lung",900,World,0,1,1796144,2020,1796144,0,0,0
15,"Trachea, bronchus and lung",900,World,0,1,1796144,2025,2073604,277460,15.4475,0
15,"Trachea, bronchus and lung",900,World,0,1,1796144,2030,2375212,579068,32.2395,0
15,"Trachea, bronchus and lung",900,World,0,1,1796144,2035,2692863,896719,49.9247,0
15,"Trachea, bronchus and lung",900,World,0,1,1796144,2040,3007969,1211825,67.4681,0
16,Melanoma of skin,900,World,0,1,57043,2020,57043,0,0,0
16,Melanoma of skin,900,World,0,1,57043,2025,65375,8332,14.6065,0
16,Melanoma of skin,900,World,0,1,57043,2030,74751,17708,31.0432,0
16,Melanoma of skin,900,World,0,1,57043,2035,85232,28189,49.4171,0
16,Melanoma of skin,900,World,0,1,57043,2040,96040,38997,68.3642,0
17,Non-melanoma skin cancer,900,World,0,1,63731,2020,63731,0,0,0
17,Non-melanoma skin cancer,900,World,0,1,63731,2025,73474,9743,15.2877,0
17,Non-melanoma skin cancer,900,World,0,1,63731,2030,84653,20922,32.8286,0
17,Non-melanoma skin cancer,900,World,0,1,63731,2035,98374,34643,54.3582,0
17,Non-melanoma skin cancer,900,World,0,1,63731,2040,113417,49686,77.9621,0
18,Mesothelioma,900,World,0,1,26278,2020,26278,0,0,0
18,Mesothelioma,900,World,0,1,26278,2025,30615,4337,16.5043,0
18,Mesothelioma,900,World,0,1,26278,2030,35577,9299,35.387,0
18,Mesothelioma,900,World,0,1,26278,2035,41082,14804,56.3361,0
18,Mesothelioma,900,World,0,1,26278,2040,46761,20483,77.9473,0
19,Kaposi sarcoma,900,World,0,1,15086,2020,15086,0,0,0
19,Kaposi sarcoma,900,World,0,1,15086,2025,16024,938,6.2177,0
19,Kaposi sarcoma,900,World,0,1,15086,2030,16928,1842,12.21,0
19,Kaposi sarcoma,900,World,0,1,15086,2035,17829,2743,18.1824,0
19,Kaposi sarcoma,900,World,0,1,15086,2040,18704,3618,23.9825,0
2,Salivary glands,900,World,0,1,22778,2020,22778,0,0,0
2,Salivary glands,900,World,0,1,22778,2025,25898,3120,13.6974,0
2,Salivary glands,900,World,0,1,22778,2030,29258,6480,28.4485,0
2,Salivary glands,900,World,0,1,22778,2035,32853,10075,44.2313,0
2,Salivary glands,900,World,0,1,22778,2040,36473,13695,60.1238,0
20,Breast,900,World,0,1,684996,2020,684996,0,0,0
20,Breast,900,World,0,1,684996,2025,768761,83765,12.2285,0
20,Breast,900,World,0,1,684996,2030,857319,172323,25.1568,0
20,Breast,900,World,0,1,684996,2035,949530,264534,38.6183,0
20,Breast,900,World,0,1,684996,2040,1040813,355817,51.9444,0
21,Vulva,900,World,0,1,17427,2020,17427,0,0,0
21,Vulva,900,World,0,1,17427,2025,19949,2522,14.4718,0
21,Vulva,900,World,0,1,17427,2030,22854,5427,31.1413,0
21,Vulva,900,World,0,1,17427,2035,26175,8748,50.198,0
21,Vulva,900,World,0,1,17427,2040,29635,12208,70.0522,0
22,Vagina,900,World,0,1,7995,2020,7995,0,0,0
22,Vagina,900,World,0,1,7995,2025,9037,1042,13.0331,0
22,Vagina,900,World,0,1,7995,2030,10163,2168,27.1169,0
22,Vagina,900,World,0,1,7995,2035,11353,3358,42.0013,0
22,Vagina,900,World,0,1,7995,2040,12534,4539,56.773,0
23,Cervix uteri,900,World,0,1,341831,2020,341831,0,0,0
23,Cervix uteri,900,World,0,1,341831,2025,378354,36523,10.6845,0
23,Cervix uteri,900,World,0,1,341831,2030,414520,72689,21.2646,0
23,Cervix uteri,900,World,0,1,341831,2035,449132,107301,31.3901,0
23,Cervix uteri,900,World,0,1,341831,2040,481451,139620,40.8447,0
24,Corpus uteri,900,World,0,1,97370,2020,97370,0,0,0
24,Corpus uteri,900,World,0,1,97370,2025,111264,13894,14.2693,0
24,Corpus uteri,900,World,0,1,97370,2030,126346,28976,29.7587,0
24,Corpus uteri,900,World,0,1,97370,2035,142154,44784,45.9936,0
24,Corpus uteri,900,World,0,1,97370,2040,157813,60443,62.0756,0
25,Ovary,900,World,0,1,207252,2020,207252,0,0,0
25,Ovary,900,World,0,1,207252,2025,233174,25922,12.5075,0
25,Ovary,900,World,0,1,207252,2030,260162,52910,25.5293,0
25,Ovary,900,World,0,1,207252,2035,287380,80128,38.6621,0
25,Ovary,900,World,0,1,207252,2040,313617,106365,51.3216,0
26,Penis,900,World,0,1,13211,2020,13211,0,0,0
26,Penis,900,World,0,1,13211,2025,15037,1826,13.8218,0
26,Penis,900,World,0,1,13211,2030,16991,3780,28.6125,0
26,Penis,900,World,0,1,13211,2035,19095,5884,44.5386,0
26,Penis,900,World,0,1,13211,2040,21304,8093,61.2596,0
27,Prostate,900,World,0,1,375304,2020,375304,0,0,0
27,Prostate,900,World,0,1,375304,2025,444595,69291,18.4626,0
27,Prostate,900,World,0,1,375304,2030,528877,153573,40.9196,0
27,Prostate,900,World,0,1,375304,2035,630518,255214,68.0019,0
27,Prostate,900,World,0,1,375304,2040,739861,364557,97.1365,0
28,Testis,900,World,0,1,9334,2020,9334,0,0,0
28,Testis,900,World,0,1,9334,2025,10050,716,7.6709,0
28,Testis,900,World,0,1,9334,2030,10780,1446,15.4918,0
28,Testis,900,World,0,1,9334,2035,11529,2195,23.5162,0
28,Testis,900,World,0,1,9334,2040,12255,2921,31.2942,0
29,Kidney and renal pelvis,900,World,0,1,179368,2020,179368,0,0,0
29,Kidney and renal pelvis,900,World,0,1,179368,2025,206035,26667,14.8672,0
29,Kidney and renal pelvis,900,World,0,1,179368,2030,235666,56298,31.3869,0
29,Kidney and renal pelvis,900,World,0,1,179368,2035,268009,88641,49.4185,0
29,Kidney and renal pelvis,900,World,0,1,179368,2040,300886,121518,67.7479,0
3,Oropharynx,900,World,0,1,48143,2020,48143,0,0,0
3,Oropharynx,900,World,0,1,48143,2025,54433,6290,13.0652,0
3,Oropharynx,900,World,0,1,48143,2030,60869,12726,26.4337,0
3,Oropharynx,900,World,0,1,48143,2035,67231,19088,39.6485,0
3,Oropharynx,900,World,0,1,48143,2040,73365,25222,52.3898,0
30,Bladder,900,World,0,1,212536,2020,212536,0,0,0
30,Bladder,900,World,0,1,212536,2025,248796,36260,17.0606,0
30,Bladder,900,World,0,1,212536,2030,291836,79300,37.3113,0
30,Bladder,900,World,0,1,212536,2035,342533,129997,61.1647,0
30,Bladder,900,World,0,1,212536,2040,396529,183993,86.5703,0
31,"Brain, nervous system",900,World,0,1,251329,2020,251329,0,0,0
31,"Brain, nervous system",900,World,0,1,251329,2025,280038,28709,11.4229,0
31,"Brain, nervous system",900,World,0,1,251329,2030,309721,58392,23.2333,0
31,"Brain, nervous system",900,World,0,1,251329,2035,339547,88218,35.1006,0
31,"Brain, nervous system",900,World,0,1,251329,2040,368333,117004,46.5541,0
32,Thyroid,900,World,0,1,43646,2020,43646,0,0,0
32,Thyroid,900,World,0,1,43646,2025,50074,6428,14.7276,0
32,Thyroid,900,World,0,1,43646,2030,57257,13611,31.185,0
32,Thyroid,900,World,0,1,43646,2035,65040,21394,49.0171,0
32,Thyroid,900,World,0,1,43646,2040,72908,29262,67.0439,0
33,Hodgkin lymphoma,900,World,0,1,23376,2020,23376,0,0,0
33,Hodgkin lymphoma,900,World,0,1,23376,2025,25810,2434,10.4124,0
33,Hodgkin lymphoma,900,World,0,1,23376,2030,28400,5024,21.4921,0
33,Hodgkin lymphoma,900,World,0,1,23376,2035,31074,7698,32.9312,0
33,Hodgkin lymphoma,900,World,0,1,23376,2040,33709,10333,44.2035,0
34,Non-Hodgkin lymphoma,900,World,0,1,259793,2020,259793,0,0,0
34,Non-Hodgkin lymphoma,900,World,0,1,259793,2025,295474,35681,13.7344,0
34,Non-Hodgkin lymphoma,900,World,0,1,259793,2030,335232,75439,29.0381,0
34,Non-Hodgkin lymphoma,900,World,0,1,259793,2035,378893,119100,45.8442,0
