Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2020,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
1,"Lip, oral cavity",32,Argentina,0,0,1304,2020,1304,0,0,0
1,"Lip, oral cavity",32,Argentina,0,0,1304,2025,1427,123,9.4325,0
1,"Lip, oral cavity",32,Argentina,0,0,1304,2030,1565,261,20.0153,0
1,"Lip, oral cavity",32,Argentina,0,0,1304,2035,1712,408,31.2883,0
1,"Lip, oral cavity",32,Argentina,0,0,1304,2040,1860,556,42.638,0
10,Anus,32,Argentina,0,0,290,2020,290,0,0,0
10,Anus,32,Argentina,0,0,290,2025,316,26,8.9655,0
10,Anus,32,Argentina,0,0,290,2030,343,53,18.2759,0
10,Anus,32,Argentina,0,0,290,2035,372,82,28.2759,0
10,Anus,32,Argentina,0,0,290,2040,404,114,39.3103,0
11,Liver and intrahepatic bile ducts,32,Argentina,0,0,2437,2020,2437,0,0,0
11,Liver and intrahepatic bile ducts,32,Argentina,0,0,2437,2025,2685,248,10.1764,0
11,Liver and intrahepatic bile ducts,32,Argentina,0,0,2437,2030,2965,528,21.666,0
11,Liver and intrahepatic bile ducts,32,Argentina,0,0,2437,2035,3273,836,34.3045,0
11,Liver and intrahepatic bile ducts,32,Argentina,0,0,2437,2040,3611,1174,48.174,0
12,Gallbladder,32,Argentina,0,0,818,2020,818,0,0,0
12,Gallbladder,32,Argentina,0,0,818,2025,896,78,9.5355,0
12,Gallbladder,32,Argentina,0,0,818,2030,981,163,19.9266,0
12,Gallbladder,32,Argentina,0,0,818,2035,1074,256,31.2958,0
12,Gallbladder,32,Argentina,0,0,818,2040,1172,354,43.2763,0
13,Pancreas,32,Argentina,0,0,5026,2020,5026,0,0,0
13,Pancreas,32,Argentina,0,0,5026,2025,5547,521,10.3661,0
13,Pancreas,32,Argentina,0,0,5026,2030,6139,1113,22.1448,0
13,Pancreas,32,Argentina,0,0,5026,2035,6791,1765,35.1174,0
13,Pancreas,32,Argentina,0,0,5026,2040,7498,2472,49.1842,0
14,Larynx,32,Argentina,0,0,1414,2020,1414,0,0,0
14,Larynx,32,Argentina,0,0,1414,2025,1548,134,9.4767,0
14,Larynx,32,Argentina,0,0,1414,2030,1704,290,20.5092,0
14,Larynx,32,Argentina,0,0,1414,2035,1885,471,33.3098,0
14,Larynx,32,Argentina,0,0,1414,2040,2086,672,47.5248,0
15,"Trachea, bronchus and lung",32,Argentina,0,0,12110,2020,12110,0,0,0
15,"Trachea, bronchus and lung",32,Argentina,0,0,12110,2025,13312,1202,9.9257,0
15,"Trachea, bronchus and lung",32,Argentina,0,0,12110,2030,14664,2554,21.09,0
15,"Trachea, bronchus and lung",32,Argentina,0,0,12110,2035,16183,4073,33.6334,0
15,"Trachea, bronchus and lung",32,Argentina,0,0,12110,2040,17876,5766,47.6135,0
16,Melanoma of skin,32,Argentina,0,0,1731,2020,1731,0,0,0
16,Melanoma of skin,32,Argentina,0,0,1731,2025,1886,155,8.9544,0
16,Melanoma of skin,32,Argentina,0,0,1731,2030,2053,322,18.602,0
16,Melanoma of skin,32,Argentina,0,0,1731,2035,2231,500,28.885,0
16,Melanoma of skin,32,Argentina,0,0,1731,2040,2421,690,39.8614,0
