Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2020,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
1,"Lip, oral cavity",900,World,0,0,377713,2020,377713,0,0,0
1,"Lip, oral cavity",900,World,0,0,377713,2025,421907,44194,11.7004,0
1,"Lip, oral cavity",900,World,0,0,377713,2030,466794,89081,23.5843,0
1,"Lip, oral cavity",900,World,0,0,377713,2035,510948,133235,35.2741,0
1,"Lip, oral cavity",900,World,0,0,377713,2040,553481,175768,46.5348,0
10,Anus,900,World,0,0,50865,2020,50865,0,0,0
10,Anus,900,World,0,0,50865,2025,57337,6472,12.7239,0
10,Anus,900,World,0,0,50865,2030,64112,13247,26.0434,0
10,Anus,900,World,0,0,50865,2035,70962,20097,39.5105,0
10,Anus,900,World,0,0,50865,2040,77597,26732,52.5548,0
11,Liver and intrahepatic bile ducts,900,World,0,0,905677,2020,905677,0,0,0
11,Liver and intrahepatic bile ducts,900,World,0,0,905677,2025,1024717,119040,13.1438,0
11,Liver and intrahepatic bile ducts,900,World,0,0,905677,2030,1150101,244424,26.988,0
11,Liver and intrahepatic bile ducts,900,World,0,0,905677,2035,1278721,373044,41.1895,0
11,Liver and intrahepatic bile ducts,900,World,0,0,905677,2040,1403985,498308,55.0205,0
12,Gallbladder,900,World,0,0,115949,2020,115949,0,0,0
12,Gallbladder,900,World,0,0,115949,2025,132619,16670,14.377,0
12,Gallbladder,900,World,0,0,115949,2030,150936,34987,30.1745,0
12,Gallbladder,900,World,0,0,115949,2035,170400,54451,46.9612,0
12,Gallbladder,900,World,0,0,115949,2040,189951,74002,63.8229,0
13,Pancreas,900,World,0,0,495773,2020,495773,0,0,0
13,Pancreas,900,World,0,0,495773,2025,572329,76556,15.4417,0
13,Pancreas,900,World,0,0,495773,2030,657584,161811,32.6381,0
13,Pancreas,900,World,0,0,495773,2035,750078,254305,51.2946,0
13,Pancreas,900,World,0,0,495773,2040,843772,347999,70.1932,0
14,Larynx,900,World,0,0,184615,2020,184615,0,0,0
14,Larynx,900,World,0,0,184615,2025,209449,24834,13.4518,0
14,Larynx,900,World,0,0,184615,2030,234867,50252,27.2199,0
14,Larynx,900,World,0,0,184615,2035,259909,75294,40.7843,0
14,Larynx,900,World,0,0,184615,2040,283923,99308,53.7919,0
15,"Trachea, bronchus and lung",900,World,0,0,2206771,2020,2206771,0,0,0
15,"Trachea, bronchus and lung",900,World,0,0,2206771,2025,2538853,332082,15.0483,0
15,"Trachea, bronchus and lung",900,World,0,0,2206771,2030,2895165,688394,31.1946,0
15,"Trachea, bronchus and lung",900,World,0,0,2206771,2035,3264683,1057912,47.9394,0
15,"Trachea, bronchus and lung",900,World,0,0,2206771,2040,3628014,1421243,64.4037,0
16,Melanoma of skin,900,World,0,0,324635,2020,324635,0,0,0
16,Melanoma of skin,900,World,0,0,324635,2025,367362,42727,13.1616,0
16,Melanoma of skin,900,World,0,0,324635,2030,413132,88497,27.2605,0
16,Melanoma of skin,900,World,0,0,324635,2035,461294,136659,42.0962,0
16,Melanoma of skin,900,World,0,0,324635,2040,509607,184972,56.9785,0
17,Non-melanoma skin cancer,900,World,0,0,1198073,2020,1198073,0,0,0
17,Non-melanoma skin cancer,900,World,0,0,1198073,2025,1398949,200876,16.7666,0
17,Non-melanoma skin cancer,900,World,0,0,1198073,2030,1634077,436004,36.3921,0
17,Non-melanoma skin cancer,900,World,0,0,1198073,2035,1908157,710084,59.2688,0
17,Non-melanoma skin cancer,900,World,0,0,1198073,2040,2200003,1001930,83.6285,0
18,Mesothelioma,900,World,0,0,30870,2020,30870,0,0,0
18,Mesothelioma,900,World,0,0,30870,2025,35793,4923,15.9475,0
18,Mesothelioma,900,World,0,0,30870,2030,41338,10468,33.9099,0
18,Mesothelioma,900,World,0,0,30870,2035,47285,16415,53.1746,0
